#,2021-12-04T00:00:00Z,N0000020,FN20vr,40.742018,-74.178975,50,Newark NJ,G1,Unknown
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000020
# Callsign                 K2MFF
# Grid Square              FN20vr
# Lat, Long, Elv           40.742018,-74.178975,50
# City State               Newark NJ
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  Inverted V
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       Unknown
#
#######################################
UTC,Freq,Vpk
2021-12-04T00:00:00Z,  3899999.898, 0.027230
2021-12-04T00:00:01Z,  3899999.848, 0.028264
2021-12-04T00:00:02Z,  3899999.847, 0.028861
2021-12-04T00:00:03Z,  3899999.874, 0.031469
2021-12-04T00:00:04Z,  3899999.905, 0.038165
2021-12-04T00:00:05Z,  3899999.919, 0.043603
2021-12-04T00:00:06Z,  3899999.937, 0.042061
2021-12-04T00:00:07Z,  3899999.931, 0.036642
2021-12-04T00:00:08Z,  3899999.846, 0.028302
2021-12-04T00:00:09Z,  3899999.852, 0.022003
2021-12-04T00:00:10Z,  3899999.849, 0.023198
2021-12-04T00:00:11Z,  3899999.860, 0.024969
2021-12-04T00:00:12Z,  3899999.940, 0.027212
2021-12-04T00:00:13Z,  3899999.914, 0.024593
2021-12-04T00:00:14Z,  3899999.919, 0.016327
2021-12-04T00:00:15Z,  3899999.704, 0.012062
2021-12-04T00:00:16Z,  3899999.555, 0.009477
2021-12-04T00:00:17Z,  3899999.479, 0.010028
2021-12-04T00:00:18Z,  3899999.340, 0.012809
2021-12-04T00:00:19Z,  3899999.353, 0.014009
2021-12-04T00:00:20Z,  3899999.453, 0.014654
2021-12-04T00:00:21Z,  3899999.564, 0.015907
2021-12-04T00:00:22Z,  3899999.725, 0.019505
2021-12-04T00:00:23Z,  3899999.907, 0.022735
2021-12-04T00:00:25Z,  3899999.953, 0.023843
2021-12-04T00:00:26Z,  3899999.919, 0.022693
2021-12-04T00:00:27Z,  3899999.893, 0.023658
2021-12-04T00:00:28Z,  3899999.908, 0.025862
2021-12-04T00:00:29Z,  3899999.888, 0.031459
2021-12-04T00:00:30Z,  3899999.911, 0.035027
2021-12-04T00:00:31Z,  3899999.988, 0.031030
2021-12-04T00:00:32Z,  3899999.880, 0.029111
2021-12-04T00:00:33Z,  3899999.918, 0.021546
2021-12-04T00:00:34Z,  3899999.862, 0.018560
2021-12-04T00:00:35Z,  3899999.877, 0.016848
2021-12-04T00:00:36Z,  3899999.855, 0.015171
2021-12-04T00:00:37Z,  3899999.878, 0.016113
2021-12-04T00:00:38Z,  3899999.723, 0.013471
2021-12-04T00:00:39Z,  3899999.624, 0.015068
2021-12-04T00:00:40Z,  3899999.719, 0.014331
2021-12-04T00:00:41Z,  3899999.700, 0.014407
2021-12-04T00:00:42Z,  3899999.879, 0.018925
2021-12-04T00:00:43Z,  3899999.939, 0.022226
2021-12-04T00:00:44Z,  3899999.928, 0.028399
2021-12-04T00:00:45Z,  3899999.891, 0.033998
2021-12-04T00:00:46Z,  3899999.898, 0.036461
2021-12-04T00:00:47Z,  3899999.881, 0.039873
2021-12-04T00:00:48Z,  3899999.900, 0.039822
2021-12-04T00:00:49Z,  3899999.930, 0.037626
2021-12-04T00:00:50Z,  3899999.917, 0.034480
2021-12-04T00:00:51Z,  3899999.893, 0.029510
2021-12-04T00:00:52Z,  3899999.937, 0.021950
