#,2022-12-01T00:00:00Z,N0000020,FN20vr,40.742018,-74.178975,50,Newark NJ,G1,WWV10
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000020
# Callsign                 K2MFF
# Grid Square              FN20vr
# Lat, Long, Elv           40.742018,-74.178975,50
# City State               Newark NJ
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  Inverted V
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV10
#
#######################################
UTC,Freq,Vpk
2022-12-01T00:00:00Z,  9999999.799, 0.031950
2022-12-01T00:00:01Z,  9999999.979, 0.024667
2022-12-01T00:00:02Z, 10000000.015, 0.020563
2022-12-01T00:00:03Z,  9999999.995, 0.020863
2022-12-01T00:00:04Z, 10000000.043, 0.020001
2022-12-01T00:00:05Z, 10000000.023, 0.020906
2022-12-01T00:00:06Z, 10000000.022, 0.020935
2022-12-01T00:00:07Z, 10000000.112, 0.018150
2022-12-01T00:00:08Z, 10000000.027, 0.033100
2022-12-01T00:00:09Z,  9999999.902, 0.054343
2022-12-01T00:00:10Z,  9999999.809, 0.068274
2022-12-01T00:00:11Z,  9999999.656, 0.092990
2022-12-01T00:00:12Z,  9999999.617, 0.091456
2022-12-01T00:00:13Z,  9999999.643, 0.100104
2022-12-01T00:00:14Z,  9999999.635, 0.113435
2022-12-01T00:00:15Z,  9999999.592, 0.117240
2022-12-01T00:00:16Z,  9999999.628, 0.131085
2022-12-01T00:00:17Z,  9999999.592, 0.112893
2022-12-01T00:00:18Z,  9999999.635, 0.102934
2022-12-01T00:00:19Z,  9999999.641, 0.095227
2022-12-01T00:00:20Z,  9999999.610, 0.090260
2022-12-01T00:00:21Z,  9999999.639, 0.108780
2022-12-01T00:00:22Z,  9999999.590, 0.104606
2022-12-01T00:00:23Z,  9999999.619, 0.102969
2022-12-01T00:00:24Z,  9999999.632, 0.086761
2022-12-01T00:00:26Z,  9999999.621, 0.063052
2022-12-01T00:00:27Z,  9999999.659, 0.059257
2022-12-01T00:00:28Z,  9999999.605, 0.050355
2022-12-01T00:00:29Z,  9999999.618, 0.056854
2022-12-01T00:00:30Z,  9999999.593, 0.056766
2022-12-01T00:00:31Z,  9999999.578, 0.048033
2022-12-01T00:00:32Z,  9999999.694, 0.041883
2022-12-01T00:00:33Z,  9999999.833, 0.027340
2022-12-01T00:00:34Z,  9999999.961, 0.023338
2022-12-01T00:00:35Z, 10000000.006, 0.022351
2022-12-01T00:00:36Z,  9999999.855, 0.020623
