#,2022-07-13T00:00:00Z,N0000020,FN20vr,40.742018,-74.178975,50,Newark NJ,G1,WWV10
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000020
# Callsign                 K2MFF
# Grid Square              FN20vr
# Lat, Long, Elv           40.742018,-74.178975,50
# City State               Newark NJ
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  Inverted V
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV10
#
#######################################
UTC,Freq,Vpk
2022-07-13T00:00:00Z,  9999999.899, 0.011232
2022-07-13T00:00:01Z,  9999999.834, 0.009392
2022-07-13T00:00:02Z,  9999999.640, 0.008533
2022-07-13T00:00:03Z,  9999999.496, 0.006473
2022-07-13T00:00:04Z,  9999999.466, 0.004324
2022-07-13T00:00:05Z,  9999999.407, 0.005274
2022-07-13T00:00:06Z,  9999999.454, 0.008818
2022-07-13T00:00:07Z,  9999999.478, 0.010344
2022-07-13T00:00:08Z,  9999999.421, 0.014564
2022-07-13T00:00:09Z,  9999999.413, 0.015437
2022-07-13T00:00:10Z,  9999999.372, 0.014268
2022-07-13T00:00:11Z,  9999999.484, 0.015329
2022-07-13T00:00:12Z,  9999999.549, 0.013511
2022-07-13T00:00:13Z,  9999999.669, 0.014789
2022-07-13T00:00:14Z,  9999999.689, 0.012628
2022-07-13T00:00:15Z,  9999999.724, 0.010397
2022-07-13T00:00:16Z,  9999999.687, 0.009791
2022-07-13T00:00:17Z,  9999999.762, 0.007564
2022-07-13T00:00:18Z,  9999999.915, 0.008753
2022-07-13T00:00:19Z,  9999999.740, 0.009595
2022-07-13T00:00:20Z,  9999999.611, 0.008195
2022-07-13T00:00:21Z,  9999999.436, 0.009414
2022-07-13T00:00:22Z,  9999999.232, 0.007974
2022-07-13T00:00:23Z,  9999999.437, 0.006436
2022-07-13T00:00:24Z,  9999999.675, 0.005372
2022-07-13T00:00:25Z,  9999999.711, 0.004852
2022-07-13T00:00:27Z,  9999999.802, 0.007404
2022-07-13T00:00:28Z,  9999999.663, 0.011610
2022-07-13T00:00:29Z,  9999999.490, 0.015107
2022-07-13T00:00:30Z,  9999999.513, 0.017175
2022-07-13T00:00:31Z,  9999999.506, 0.015658
2022-07-13T00:00:32Z,  9999999.560, 0.013243
2022-07-13T00:00:33Z,  9999999.640, 0.010910
2022-07-13T00:00:34Z,  9999999.552, 0.008402
2022-07-13T00:00:35Z,  9999999.508, 0.009229
2022-07-13T00:00:36Z,  9999999.371, 0.009372
2022-07-13T00:00:37Z,  9999999.400, 0.011524
2022-07-13T00:00:38Z,  9999999.517, 0.015778
2022-07-13T00:00:39Z,  9999999.953, 0.014121
2022-07-13T00:00:40Z, 10000000.206, 0.013656
2022-07-13T00:00:41Z, 10000000.156, 0.012467
2022-07-13T00:00:42Z, 10000000.070, 0.009309
2022-07-13T00:00:43Z,  9999999.624, 0.013055
2022-07-13T00:00:44Z,  9999999.615, 0.013864
2022-07-13T00:00:45Z,  9999999.589, 0.014343
2022-07-13T00:00:46Z,  9999999.483, 0.013110
2022-07-13T00:00:47Z,  9999999.346, 0.010545
2022-07-13T00:00:48Z,  9999999.314, 0.011312
2022-07-13T00:00:49Z,  9999999.258, 0.009080
2022-07-13T00:00:50Z,  9999999.346, 0.009605
2022-07-13T00:00:51Z,  9999999.422, 0.010181
2022-07-13T00:00:52Z,  9999999.438, 0.011352
2022-07-13T00:00:53Z,  9999999.500, 0.014030
2022-07-13T00:00:54Z,  9999999.591, 0.016696
2022-07-13T00:00:55Z,  9999999.585, 0.016123
2022-07-13T00:00:56Z,  9999999.549, 0.012054
2022-07-13T00:00:57Z,  9999999.645, 0.011061
2022-07-13T00:00:58Z,  9999999.596, 0.010905
2022-07-13T00:00:59Z,  9999999.602, 0.014136
2022-07-13T00:01:00Z,  9999999.588, 0.017182
2022-07-13T00:01:01Z,  9999999.493, 0.015794
2022-07-13T00:01:02Z,  9999999.472, 0.013316
2022-07-13T00:01:03Z,  9999999.371, 0.010282
2022-07-13T00:01:04Z,  9999999.411, 0.009713
2022-07-13T00:01:05Z,  9999999.501, 0.008779
2022-07-13T00:01:06Z,  9999999.600, 0.010797
2022-07-13T00:01:07Z,  9999999.602, 0.010202
2022-07-13T00:01:08Z,  9999999.620, 0.012191
2022-07-13T00:01:10Z,  9999999.542, 0.013659
2022-07-13T00:01:11Z,  9999999.413, 0.011417
2022-07-13T00:01:12Z,  9999999.416, 0.011232
2022-07-13T00:01:13Z,  9999999.411, 0.011265
2022-07-13T00:01:14Z,  9999999.428, 0.011294
2022-07-13T00:01:15Z,  9999999.566, 0.013884
2022-07-13T00:01:16Z,  9999999.708, 0.013786
2022-07-13T00:01:17Z,  9999999.695, 0.012993
2022-07-13T00:01:18Z,  9999999.704, 0.013471
2022-07-13T00:01:19Z,  9999999.728, 0.012992
2022-07-13T00:01:20Z,  9999999.693, 0.015531
2022-07-13T00:01:21Z,  9999999.626, 0.013821
2022-07-13T00:01:22Z,  9999999.697, 0.014478
2022-07-13T00:01:23Z,  9999999.554, 0.014229
2022-07-13T00:01:24Z,  9999999.435, 0.014305
2022-07-13T00:01:25Z,  9999999.504, 0.017356
2022-07-13T00:01:26Z,  9999999.409, 0.016476
2022-07-13T00:01:27Z,  9999999.508, 0.015596
2022-07-13T00:01:28Z,  9999999.475, 0.013217
2022-07-13T00:01:29Z,  9999999.461, 0.012099
2022-07-13T00:01:30Z,  9999999.492, 0.011733
2022-07-13T00:01:31Z,  9999999.432, 0.011848
2022-07-13T00:01:32Z,  9999999.527, 0.013239
2022-07-13T00:01:33Z,  9999999.441, 0.011872
2022-07-13T00:01:34Z,  9999999.502, 0.012403
2022-07-13T00:01:35Z,  9999999.504, 0.014697
2022-07-13T00:01:36Z,  9999999.429, 0.016763
2022-07-13T00:01:37Z,  9999999.509, 0.021563
2022-07-13T00:01:38Z,  9999999.477, 0.027512
2022-07-13T00:01:39Z,  9999999.426, 0.028550
2022-07-13T00:01:40Z,  9999999.503, 0.030063
2022-07-13T00:01:41Z,  9999999.688, 0.026781
2022-07-13T00:01:42Z,  9999999.674, 0.026335
2022-07-13T00:01:43Z,  9999999.682, 0.024808
2022-07-13T00:01:44Z,  9999999.661, 0.020832
2022-07-13T00:01:45Z,  9999999.454, 0.022816
2022-07-13T00:01:46Z,  9999999.415, 0.017880
2022-07-13T00:01:47Z,  9999999.522, 0.020963
2022-07-13T00:01:48Z,  9999999.429, 0.020953
2022-07-13T00:01:49Z,  9999999.555, 0.019633
2022-07-13T00:01:50Z,  9999999.736, 0.017999
2022-07-13T00:01:51Z,  9999999.722, 0.015065
2022-07-13T00:01:53Z,  9999999.778, 0.011975
2022-07-13T00:01:54Z,  9999999.826, 0.012494
2022-07-13T00:01:55Z,  9999999.787, 0.014094
2022-07-13T00:01:56Z,  9999999.776, 0.011281
2022-07-13T00:01:57Z,  9999999.869, 0.012070
2022-07-13T00:01:58Z,  9999999.960, 0.009345
2022-07-13T00:01:59Z,  9999999.900, 0.008878
2022-07-13T00:02:00Z,  9999999.920, 0.012898
2022-07-13T00:02:01Z, 10000000.279, 0.012295
2022-07-13T00:02:02Z, 10000000.113, 0.011917
2022-07-13T00:02:03Z, 10000000.058, 0.011663
2022-07-13T00:02:04Z,  9999999.890, 0.009129
2022-07-13T00:02:05Z,  9999999.487, 0.010534
2022-07-13T00:02:06Z,  9999999.508, 0.012685
2022-07-13T00:02:07Z,  9999999.625, 0.012645
2022-07-13T00:02:08Z,  9999999.780, 0.014365
2022-07-13T00:02:09Z,  9999999.760, 0.016269
2022-07-13T00:02:10Z,  9999999.840, 0.015841
2022-07-13T00:02:11Z,  9999999.791, 0.013771
2022-07-13T00:02:12Z,  9999999.778, 0.012703
2022-07-13T00:02:13Z,  9999999.879, 0.010883
2022-07-13T00:02:14Z,  9999999.628, 0.011480
2022-07-13T00:02:15Z,  9999999.592, 0.013050
2022-07-13T00:02:16Z,  9999999.520, 0.012916
2022-07-13T00:02:17Z,  9999999.472, 0.015273
2022-07-13T00:02:18Z,  9999999.628, 0.013904
2022-07-13T00:02:19Z,  9999999.728, 0.013695
2022-07-13T00:02:20Z,  9999999.668, 0.012702
2022-07-13T00:02:21Z,  9999999.588, 0.009685
2022-07-13T00:02:22Z,  9999999.529, 0.010708
2022-07-13T00:02:23Z,  9999999.586, 0.009197
2022-07-13T00:02:24Z,  9999999.659, 0.011678
2022-07-13T00:02:25Z,  9999999.668, 0.013371
2022-07-13T00:02:26Z,  9999999.556, 0.013222
2022-07-13T00:02:27Z,  9999999.486, 0.017204
2022-07-13T00:02:28Z,  9999999.429, 0.015931
2022-07-13T00:02:29Z,  9999999.437, 0.016315
2022-07-13T00:02:30Z,  9999999.647, 0.016365
2022-07-13T00:02:31Z,  9999999.647, 0.016682
2022-07-13T00:02:32Z,  9999999.901, 0.015870
2022-07-13T00:02:33Z,  9999999.798, 0.013413
2022-07-13T00:02:35Z,  9999999.643, 0.015557
2022-07-13T00:02:36Z,  9999999.639, 0.016397
2022-07-13T00:02:37Z,  9999999.492, 0.019805
2022-07-13T00:02:38Z,  9999999.531, 0.021892
2022-07-13T00:02:39Z,  9999999.447, 0.020440
2022-07-13T00:02:40Z,  9999999.462, 0.021352
2022-07-13T00:02:41Z,  9999999.419, 0.019058
2022-07-13T00:02:42Z,  9999999.418, 0.019357
2022-07-13T00:02:43Z,  9999999.618, 0.017110
2022-07-13T00:02:44Z,  9999999.639, 0.016800
2022-07-13T00:02:45Z,  9999999.608, 0.015958
2022-07-13T00:02:46Z,  9999999.608, 0.014162
2022-07-13T00:02:47Z,  9999999.464, 0.015580
2022-07-13T00:02:48Z,  9999999.593, 0.012639
2022-07-13T00:02:49Z,  9999999.664, 0.016530
2022-07-13T00:02:50Z,  9999999.662, 0.021842
2022-07-13T00:02:51Z,  9999999.624, 0.024284
2022-07-13T00:02:52Z,  9999999.477, 0.028534
2022-07-13T00:02:53Z,  9999999.486, 0.029986
2022-07-13T00:02:54Z,  9999999.511, 0.027996
2022-07-13T00:02:55Z,  9999999.551, 0.026220
2022-07-13T00:02:56Z,  9999999.572, 0.024553
2022-07-13T00:02:57Z,  9999999.569, 0.021845
2022-07-13T00:02:58Z,  9999999.548, 0.021569
2022-07-13T00:02:59Z,  9999999.546, 0.021842
2022-07-13T00:03:00Z,  9999999.466, 0.017543
2022-07-13T00:03:01Z,  9999999.478, 0.014531
2022-07-13T00:03:02Z,  9999999.510, 0.011396
2022-07-13T00:03:03Z,  9999999.472, 0.008356
2022-07-13T00:03:04Z,  9999999.505, 0.008610
2022-07-13T00:03:05Z,  9999999.523, 0.009350
2022-07-13T00:03:06Z,  9999999.530, 0.010905
2022-07-13T00:03:07Z,  9999999.566, 0.013517
2022-07-13T00:03:08Z,  9999999.572, 0.016157
2022-07-13T00:03:09Z,  9999999.529, 0.020113
2022-07-13T00:03:10Z,  9999999.518, 0.023101
2022-07-13T00:03:11Z,  9999999.524, 0.024590
2022-07-13T00:03:12Z,  9999999.511, 0.024110
2022-07-13T00:03:13Z,  9999999.497, 0.020060
2022-07-13T00:03:14Z,  9999999.483, 0.017083
2022-07-13T00:03:15Z,  9999999.518, 0.016467
2022-07-13T00:03:16Z,  9999999.543, 0.017779
2022-07-13T00:03:18Z,  9999999.568, 0.022344
2022-07-13T00:03:19Z,  9999999.584, 0.024397
2022-07-13T00:03:20Z,  9999999.539, 0.021778
2022-07-13T00:03:21Z,  9999999.526, 0.021238
2022-07-13T00:03:22Z,  9999999.523, 0.020536
2022-07-13T00:03:23Z,  9999999.504, 0.020848
2022-07-13T00:03:24Z,  9999999.534, 0.025366
2022-07-13T00:03:25Z,  9999999.542, 0.028959
2022-07-13T00:03:26Z,  9999999.542, 0.029827
2022-07-13T00:03:27Z,  9999999.559, 0.030604
2022-07-13T00:03:28Z,  9999999.564, 0.026902
2022-07-13T00:03:29Z,  9999999.601, 0.018912
2022-07-13T00:03:30Z,  9999999.592, 0.014462
2022-07-13T00:03:31Z,  9999999.560, 0.010998
2022-07-13T00:03:32Z,  9999999.550, 0.010865
2022-07-13T00:03:33Z,  9999999.512, 0.012876
2022-07-13T00:03:34Z,  9999999.479, 0.013736
2022-07-13T00:03:35Z,  9999999.489, 0.015308
2022-07-13T00:03:36Z,  9999999.486, 0.014759
2022-07-13T00:03:37Z,  9999999.611, 0.012452
