#,2021-07-20T00:00:00Z,N0000020,FN20vr,40.742018,-74.178975,50,Newark NJ,G1,WWV10
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000020
# Callsign                 K2MFF
# Grid Square              FN20vr
# Lat, Long, Elv           40.742018,-74.178975,50
# City State               Newark NJ
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  Inverted V
# Frequency Standard       LB GPSDO
# System Info              RasPi3B+, Raspian OS, FLDigi V4.1.13 (N8OBJ Modified)
#
# Beacon Now Decoded       WWV10
#
#######################################
UTC,Freq,Vpk
2021-07-20T00:00:00Z,  9999999.686, 0.020658
2021-07-20T00:00:01Z,  9999999.584, 0.021710
2021-07-20T00:00:02Z,  9999999.520, 0.019893
2021-07-20T00:00:03Z,  9999999.550, 0.021585
2021-07-20T00:00:04Z,  9999999.647, 0.022476
2021-07-20T00:00:06Z,  9999999.723, 0.024524
2021-07-20T00:00:07Z,  9999999.759, 0.026870
2021-07-20T00:00:08Z,  9999999.852, 0.031472
2021-07-20T00:00:09Z,  9999999.848, 0.035217
2021-07-20T00:00:10Z,  9999999.910, 0.030107
2021-07-20T00:00:11Z,  9999999.943, 0.023982
2021-07-20T00:00:12Z,  9999999.832, 0.016381
2021-07-20T00:00:13Z,  9999999.813, 0.009778
2021-07-20T00:00:14Z,  9999999.789, 0.011634
2021-07-20T00:00:15Z,  9999999.779, 0.020065
2021-07-20T00:00:16Z,  9999999.830, 0.026544
2021-07-20T00:00:17Z,  9999999.784, 0.031113
2021-07-20T00:00:18Z,  9999999.628, 0.030538
2021-07-20T00:00:19Z,  9999999.631, 0.026427
2021-07-20T00:00:20Z,  9999999.697, 0.027027
2021-07-20T00:00:21Z,  9999999.775, 0.028449
2021-07-20T00:00:22Z,  9999999.834, 0.031642
2021-07-20T00:00:23Z,  9999999.828, 0.032799
2021-07-20T00:00:24Z,  9999999.824, 0.031965
2021-07-20T00:00:25Z,  9999999.835, 0.033405
2021-07-20T00:00:26Z,  9999999.894, 0.035851
2021-07-20T00:00:27Z,  9999999.992, 0.031985
2021-07-20T00:00:28Z,  9999999.895, 0.026779
2021-07-20T00:00:29Z,  9999999.911, 0.022846
2021-07-20T00:00:30Z,  9999999.947, 0.024700
2021-07-20T00:00:31Z,  9999999.904, 0.031391
2021-07-20T00:00:32Z, 10000000.015, 0.034881
2021-07-20T00:00:33Z,  9999999.998, 0.040724
2021-07-20T00:00:34Z,  9999999.945, 0.045685
2021-07-20T00:00:35Z,  9999999.858, 0.046269
2021-07-20T00:00:36Z,  9999999.811, 0.044818
2021-07-20T00:00:37Z,  9999999.802, 0.044233
2021-07-20T00:00:38Z,  9999999.811, 0.043209
2021-07-20T00:00:39Z,  9999999.878, 0.044796
2021-07-20T00:00:40Z,  9999999.772, 0.044109
2021-07-20T00:00:41Z,  9999999.746, 0.035085
2021-07-20T00:00:42Z,  9999999.771, 0.026432
2021-07-20T00:00:43Z,  9999999.752, 0.028747
2021-07-20T00:00:44Z,  9999999.889, 0.039522
2021-07-20T00:00:45Z,  9999999.934, 0.049112
2021-07-20T00:00:46Z,  9999999.927, 0.058414
2021-07-20T00:00:48Z,  9999999.913, 0.067846
2021-07-20T00:00:49Z,  9999999.893, 0.070168
2021-07-20T00:00:50Z,  9999999.891, 0.063061
2021-07-20T00:00:51Z,  9999999.914, 0.050720
2021-07-20T00:00:52Z,  9999999.967, 0.033473
2021-07-20T00:00:53Z,  9999999.965, 0.025514
2021-07-20T00:00:54Z,  9999999.936, 0.030090
2021-07-20T00:00:55Z,  9999999.894, 0.035546
2021-07-20T00:00:56Z,  9999999.857, 0.044341
2021-07-20T00:00:57Z,  9999999.858, 0.048387
2021-07-20T00:00:58Z,  9999999.971, 0.043604
2021-07-20T00:00:59Z,  9999999.965, 0.049409
2021-07-20T00:01:00Z,  9999999.956, 0.046002
2021-07-20T00:01:01Z, 10000000.006, 0.036927
2021-07-20T00:01:02Z,  9999999.996, 0.034152
2021-07-20T00:01:03Z, 10000000.016, 0.030855
2021-07-20T00:01:04Z, 10000000.030, 0.035169
2021-07-20T00:01:05Z,  9999999.904, 0.038716
2021-07-20T00:01:06Z,  9999999.865, 0.038479
2021-07-20T00:01:07Z,  9999999.722, 0.029653
2021-07-20T00:01:08Z,  9999999.722, 0.022790
2021-07-20T00:01:09Z,  9999999.613, 0.019984
2021-07-20T00:01:10Z,  9999999.623, 0.026536
2021-07-20T00:01:11Z,  9999999.782, 0.032545
2021-07-20T00:01:12Z,  9999999.815, 0.036305
2021-07-20T00:01:13Z,  9999999.954, 0.043752
2021-07-20T00:01:14Z,  9999999.961, 0.037873
2021-07-20T00:01:15Z,  9999999.934, 0.036610
2021-07-20T00:01:16Z,  9999999.918, 0.038055
2021-07-20T00:01:17Z,  9999999.905, 0.038177
2021-07-20T00:01:18Z,  9999999.894, 0.036916
2021-07-20T00:01:19Z,  9999999.830, 0.031464
2021-07-20T00:01:20Z,  9999999.792, 0.030078
2021-07-20T00:01:21Z,  9999999.717, 0.025316
2021-07-20T00:01:22Z,  9999999.761, 0.027081
2021-07-20T00:01:23Z,  9999999.813, 0.027243
2021-07-20T00:01:24Z,  9999999.897, 0.020881
2021-07-20T00:01:25Z,  9999999.978, 0.022230
2021-07-20T00:01:26Z,  9999999.878, 0.019272
